id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
G0725	10	0.74653	0.7461	0.998595	726	0	0.061003	0.0090493	0.024074	0.994234	16	2	0.061003
G0910	10	0.74711	0.74657	0.998595	727	0	0.023291	0.46794	0.46961	0.994234	443	0	0.023291
G0105	10	0.74943	0.74887	0.998595	728	0	0.074116	0.20719	0.23638	0.994234	219	1	0.074116
G0405	10	0.75	0.74938	0.998595	729	0	0.14353	0.073919	0.12369	0.994234	99	1	0.14353
G0215	10	0.75115	0.75047	0.998595	730	0	0.017987	0.89012	0.89029	0.994234	889	0	0.017987
G0632	10	0.75143	0.7508	0.998595	731	0	0.030469	0.31231	0.32294	0.994234	308	1	0.030469
G0752	10	0.75343	0.75284	0.998595	732	0	-0.056646	0.7094	0.70843	0.994234	691	0	-0.056646
G0597	10	0.75428	0.7538	0.998595	733	0	0.047212	0.028695	0.057302	0.994234	29	2	0.047212
G0653	10	0.75484	0.75422	0.998595	734	0	-0.0028766	0.6039	0.603	0.994234	586	0	-0.0028766
G0292	10	0.75512	0.75453	0.998595	735	0	-0.015513	0.8628	0.86258	0.994234	858	0	-0.015513
G0800	10	0.75569	0.75506	0.998595	736	0	0.06313	0.61801	0.61792	0.994234	598	0	0.06313
G0661	10	0.75625	0.75572	0.998595	737	0	0.0079856	0.6251	0.62508	0.994234	605	0	0.0079856
G0138	10	0.75681	0.75623	0.998595	738	0	0.0044297	0.0099095	0.026104	0.994234	17	3	0.0044297
G0326	10	0.75737	0.75671	0.998595	739	0	0.028776	0.24451	0.26575	0.994234	249	1	0.028776
G0955	10	0.75765	0.75694	0.998595	740	0	0.0078718	0.69392	0.69345	0.994234	675	0	0.0078718
G0053	10	0.75793	0.75729	0.998595	741	0	0.05084	0.26523	0.28278	0.994234	268	1	0.05084
G0830	10	0.75821	0.75759	0.998595	742	0	-0.022977	0.03807	0.07054	0.994234	43	2	-0.022977
G0712	10	0.7596	0.75914	0.998595	743	0	-0.048044	0.34034	0.34645	0.994234	325	1	-0.048044
G0785	10	0.75987	0.75946	0.998595	744	0	-0.045919	0.96774	0.96757	0.999427	966	0	-0.045919
G0014	10	0.76153	0.76102	0.998595	745	0	-0.0097826	0.7226	0.72158	0.994234	711	0	-0.0097826
G0543	10	0.76208	0.76155	0.998595	746	0	0.050266	0.74449	0.74395	0.994234	731	0	0.050266
G0844	10	0.76263	0.76224	0.998595	747	0	0.010638	0.49344	0.49426	0.994234	470	0	0.010638
G0651	10	0.76318	0.76281	0.998595	748	0	0.02903	0.67661	0.67602	0.994234	656	0	0.02903
G0004	10	0.76345	0.76321	0.998595	749	0	-0.036889	0.97029	0.97029	0.999427	970	0	-0.036889
G0250	10	0.76372	0.7635	0.998595	750	0	-0.060864	0.31303	0.32355	0.994234	309	1	-0.060864
G0607	10	0.76399	0.76371	0.998595	751	0	0.085903	0.081358	0.13453	0.994234	112	1	0.085903
G0968	10	0.76427	0.76399	0.998595	752	0	-0.044895	0.76263	0.76224	0.994234	752	0	-0.044895
G0496	10	0.76481	0.76461	0.998595	753	0	-0.015755	0.31871	0.3284	0.994234	312	1	-0.015755
G0251	10	0.76535	0.76517	0.998595	754	0	0.017623	0.10697	0.16388	0.994234	147	1	0.017623
G0646	10	0.7659	0.7658	0.998595	755	0	-0.039722	0.58843	0.58763	0.994234	574	0	-0.039722
G0644	10	0.76671	0.76654	0.998595	756	0	0.077823	0.59733	0.5962	0.994234	582	0	0.077823
G0492	10	0.76805	0.76768	0.998595	757	0	0.06436	0.0063255	0.017619	0.994234	10	2	0.06436
G0722	10	0.76886	0.76855	0.998595	758	0	-0.071463	0.57334	0.57317	0.994234	556	0	-0.071463
G0464	10	0.76912	0.76875	0.998595	759	0	-0.0042432	0.69938	0.69901	0.994234	679	0	-0.0042432
G0307	10	0.77019	0.76965	0.998595	760	0	-0.026641	0.73253	0.73171	0.994234	720	0	-0.026641
G0027	10	0.77099	0.77048	0.998595	761	0	-0.043338	0.32576	0.33425	0.994234	317	1	-0.043338
G0411	10	0.77125	0.77078	0.998595	762	0	0.045482	0.76372	0.7635	0.994234	754	0	0.045482
G0128	10	0.77152	0.77106	0.998595	763	0	0.01848	0.75399	0.75351	0.994234	745	0	0.01848
G0692	10	0.77178	0.77135	0.998595	764	0	-0.024799	0.87592	0.8759	0.994234	875	0	-0.024799
G0133	10	0.77284	0.77222	0.998595	765	0	0.0040045	0.61208	0.61189	0.994234	591	0	0.0040045
G0920	10	0.77389	0.77338	0.998595	766	0	0.058198	0.87205	0.87212	0.994234	870	0	0.058198
G0218	10	0.77494	0.77438	0.998595	767	0	-0.081472	0.054134	0.094946	0.994234	70	1	-0.081472
G0807	10	0.77702	0.77673	0.998595	768	0	0.074719	0.53818	0.53832	0.994234	521	0	0.074719
G0194	10	0.77728	0.77696	0.998595	769	0	-0.0045146	0.093332	0.152	0.994234	129	1	-0.0045146
G0192	10	0.77805	0.77775	0.998595	770	0	-0.036019	0.1293	0.17896	0.994234	160	1	-0.036019
G0559	10	0.77908	0.77892	0.998595	771	0	0.060694	0.49072	0.49158	0.994234	468	0	0.060694
G0316	10	0.78088	0.78043	0.998595	772	0	-0.051192	0.45707	0.45857	0.994234	431	0	-0.051192
G0370	10	0.7824	0.78198	0.998595	773	0	-0.036938	0.39525	0.39881	0.994234	375	1	-0.036938
G0923	10	0.78265	0.78224	0.998595	774	0	-0.0042755	0.55487	0.55518	0.994234	541	0	-0.0042755
G0825	10	0.78341	0.78305	0.998595	775	0	0.019778	0.87377	0.87386	0.994234	874	0	0.019778
G0314	10	0.78442	0.78411	0.998595	776	0	-0.023824	0.7778	0.77743	0.994234	769	0	-0.023824
G0166	10	0.78517	0.78494	0.998595	777	0	0.0026207	0.93095	0.93094	0.994234	932	0	0.0026207
G0921	10	0.78915	0.78881	0.998595	778	0	-0.012925	0.71655	0.71569	0.994234	699	0	-0.012925
G0775	10	0.79087	0.79052	0.998595	779	0	-0.068315	0.18	0.21646	0.994234	197	1	-0.068315
G0523	10	0.79136	0.79091	0.998595	780	0	-0.0099943	0.85839	0.8581	0.994234	854	0	-0.0099943
G0631	10	0.79282	0.79218	0.998595	781	0	0.066763	0.41282	0.41562	0.994234	396	1	0.066763
G0919	10	0.79354	0.79294	0.998595	782	0	0.017558	0.8872	0.88744	0.994234	883	0	0.017558
G0286	10	0.79451	0.79388	0.998595	783	0	0.058663	0.56585	0.56611	0.994234	551	0	0.058663
G0179	10	0.79475	0.79407	0.998595	784	0	0.062651	0.016718	0.03948	0.994234	25	2	0.062651
G0768	10	0.79523	0.7946	0.998595	785	0	-0.00042717	0.93701	0.93726	0.994234	938	0	-0.00042717
G0938	10	0.79595	0.79534	0.998595	786	0	0.060911	0.57934	0.57895	0.994234	563	0	0.060911
G0793	10	0.79666	0.79622	0.998595	787	0	-0.0071998	0.4651	0.467	0.994234	440	0	-0.0071998
G0517	10	0.7969	0.79645	0.998595	788	0	-0.030402	0.9055	0.90514	0.994234	900	0	-0.030402
G0500	10	0.79738	0.79685	0.998595	789	0	0.060388	0.71202	0.71096	0.994234	695	0	0.060388
G0285	10	0.79809	0.79748	0.998595	790	0	-0.01278	0.58662	0.58596	0.994234	571	0	-0.01278
G0098	10	0.79856	0.79798	0.998595	791	0	0.13824	0.33204	0.33966	0.994234	320	1	0.13824
G0917	10	0.80045	0.79996	0.998595	792	0	-0.013917	0.91723	0.91661	0.994234	916	0	-0.013917
G0454	10	0.80161	0.8011	0.998595	793	0	0.052384	0.29352	0.30707	0.994234	292	1	0.052384
G0831	10	0.80393	0.80338	0.998595	794	0	0.065321	0.68625	0.68568	0.994234	666	0	0.065321
G0428	10	0.80417	0.80367	0.998595	795	0	0.032209	0.49937	0.49993	0.994234	476	0	0.032209
G0443	10	0.80509	0.80466	0.998595	796	0	-0.029605	0.15714	0.19912	0.994234	182	1	-0.029605
G0798	10	0.80554	0.80511	0.998595	797	0	0.011955	0.5121	0.51214	0.994234	488	0	0.011955
G0283	10	0.80577	0.80533	0.998595	798	0	-0.0063617	0.26067	0.27918	0.994234	264	1	-0.0063617
G0579	10	0.80646	0.80605	0.998595	799	0	0.091425	0.083613	0.13792	0.994234	116	2	0.091425
G0555	10	0.80691	0.80638	0.998595	800	0	0.029479	0.65383	0.6542	0.994234	634	0	0.029479
G0351	10	0.80805	0.80758	0.998595	801	0	0.044654	0.44483	0.44694	0.994234	423	0	0.044654
G0903	10	0.8085	0.80799	0.998595	802	0	0.027078	0.19081	0.22392	0.994234	206	1	0.027078
G0354	10	0.8094	0.80882	0.998595	803	0	0.059236	0.67443	0.67381	0.994234	654	0	0.059236
G0125	10	0.8103	0.80974	0.998595	804	0	0.064783	0.041696	0.076163	0.994234	49	1	0.064783
G0586	10	0.81186	0.81119	0.998595	805	0	0.12446	0.074624	0.12476	0.994234	101	2	0.12446
G0476	10	0.81297	0.81255	0.998595	806	0	0.046677	0.012758	0.032827	0.994234	21	2	0.046677
G0516	10	0.81407	0.81372	0.998595	807	0	-0.018976	0.93524	0.93534	0.994234	936	0	-0.018976
G0675	10	0.81429	0.81392	0.998595	808	0	-0.028917	0.30008	0.31273	0.994234	295	1	-0.028917
G0157	10	0.81713	0.81667	0.998595	809	0	0.0083583	0.13546	0.18322	0.994234	163	1	0.0083583
G0463	10	0.81821	0.81779	0.998595	810	0	0.090897	0.46339	0.46538	0.994234	438	0	0.090897
G0450	10	0.81864	0.81813	0.998595	811	0	-0.019261	0.40597	0.40926	0.994234	386	1	-0.019261
G0102	10	0.81929	0.81887	0.998595	812	0	-0.032569	0.14332	0.18876	0.994234	170	1	-0.032569
G0513	10	0.82121	0.82079	0.998595	813	0	-0.0070205	0.94357	0.94375	0.994234	946	0	-0.0070205
