sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
G0178_1777	G0178	67.726/43.37/35.113/71.405	87.284/24.182/52.773/52.895	52.098	49.279	-0.078697	327.22	255.14	0.17648	0.42964	0.57036	0.85929	0.99996	False
G0537_5366	G0537	151.32/95.045/80.866/75.485	123.4/69.643/88.99/97.438	96.801	92.913	-0.058528	1228.1	485.55	0.17646	0.42996	0.57004	0.85993	0.99996	False
G0481_4808	G0481	70.9/54.443/52.137/53.044	58.189/68.676/46.565/46.399	57.161	54.208	-0.075171	79.448	280.93	0.17617	0.42989	0.57011	0.85979	0.99996	False
G0399_3981	G0399	100.53/49.829/42.561/23.462	110.36/61.905/39.321/23.2	47.306	49.981	0.077778	1143.4	230.81	0.17612	0.5695	0.4305	0.86099	0.99996	True
G0903_9030	G0903	110.05/97.813/152.16/191.77	116.38/117.04/122.1/216.22	133.13	137.71	0.048424	1860.3	676.1	0.17608	0.56989	0.43011	0.86023	0.99996	True
G0920_9199	G0920	79.366/73.821/51.073/88.746	60.196/87.054/64.156/94.654	71.788	75.109	0.064365	259.41	355.94	0.17602	0.56983	0.43017	0.86034	0.99996	True
G0847_8470	G0847	82.541/65.516/36.177/38.763	88.287/65.774/40.356/39.903	52.483	55.305	0.074182	509.16	257.09	0.176	0.56962	0.43038	0.86075	0.99996	True
G0433_4328	G0433	47.62/58.134/78.738/69.365	50.163/46.429/92.095/57.535	62.359	59.273	-0.072029	184.15	307.51	0.17596	0.43006	0.56994	0.86011	0.99996	False
G0423_4227	G0423	105.82/64.593/104.27/38.763	116.38/48.363/105.55/55.679	72.509	75.844	0.064012	1106.7	359.65	0.17586	0.56977	0.43023	0.86046	0.99996	True
G0035_349	G0035	12.699/23.992/11.704/32.642	6.0196/31.92/21.73/38.975	18.48	20.12	0.1166	103.43	86.974	0.17582	0.55931	0.44069	0.88138	0.99996	True
G0800_7994	G0800	32.805/35.988/48.945/24.482	45.147/30.953/41.391/31.551	34.49	36.756	0.089271	104.73	166.25	0.1757	0.56812	0.43188	0.86376	0.99996	True
G0966_9659	G0966	74.075/41.524/60.65/37.743	69.225/47.396/62.086/42.687	51.516	54.305	0.07466	293.96	252.17	0.17565	0.56946	0.43054	0.86108	0.99996	True
G0778_7772	G0778	94.181/51.675/55.329/27.542	80.261/53.2/51.739/26.911	52.195	49.387	-0.078243	793.56	255.63	0.17564	0.42998	0.57002	0.85996	0.99996	False
G0455_4550	G0455	87.832/46.138/59.586/86.706	98.32/38.691/54.843/82.59	67.647	64.435	-0.069143	432.76	334.64	0.17561	0.43024	0.56976	0.86048	0.99996	False
G0505_5041	G0505	14.815/32.297/54.265/33.662	11.036/38.691/39.321/38.975	30.588	28.461	-0.10058	273.93	146.76	0.1756	0.42699	0.57301	0.85398	0.99996	False
G0942_9416	G0942	214.82/255.61/184.08/235.64	245.8/239.88/188.33/238.49	220.91	226.85	0.038102	938.14	1144.3	0.17557	0.56968	0.43032	0.86064	0.99996	True
G0225_2241	G0225	221.17/206.7/251.11/229.52	246.8/230.21/225.58/228.28	226.56	232.57	0.037632	345	1174.7	0.17547	0.56964	0.43036	0.86071	0.99996	True
G0509_5089	G0509	85.715/159.64/125.56/102.01	66.215/153.8/137.62/107.65	115.06	110.83	-0.053521	1042.9	581.02	0.17535	0.4304	0.5696	0.8608	0.99996	False
G0476_4753	G0476	325.93/152.26/242.6/212.17	324.05/177.01/219.37/225.5	224.82	230.8	0.037744	5321.6	1165.3	0.17535	0.5696	0.4304	0.8608	0.99996	True
G0296_2959	G0296	92.065/162.41/127.68/104.05	95.31/147.02/131.42/124.35	118.72	123.02	0.050857	971.55	600.23	0.17533	0.56959	0.43041	0.86082	0.99996	True
G0555_5547	G0555	119.58/137.49/183.01/173.41	120.39/179.91/165.56/165.18	151.14	156.01	0.045451	898.12	771.34	0.17533	0.56959	0.43041	0.86082	0.99996	True
G0597_5968	G0597	146.03/85.817/106.4/164.23	108.35/108.33/134.52/159.61	121.65	126	0.050247	1308	615.64	0.1752	0.56954	0.43046	0.86092	0.99996	True
G0637_6364	G0637	160.85/176.25/120.24/88.746	171.56/177.01/129.35/88.158	131.88	136.42	0.048394	1601.2	669.51	0.17519	0.56954	0.43046	0.86093	0.99996	True
G0430_4297	G0430	157.67/118.11/244.73/193.81	129.42/132.52/234.89/193.95	172.4	167.19	-0.044007	2951.1	884.38	0.17518	0.43047	0.56953	0.86094	0.99996	False
G0020_192	G0020	68.784/89.508/161.73/129.55	82.267/85.12/145.9/146.62	106.58	110.64	0.053414	1763.1	536.59	0.17516	0.56952	0.43048	0.86095	0.99996	True
G0050_492	G0050	32.805/40.602/36.177/44.883	30.098/31.92/38.287/45.471	38.349	35.963	-0.090239	27.742	185.6	0.17513	0.4291	0.5709	0.85819	0.99996	False
