gene,sgRNA,p_value,t_value,grho,rho,df
G0537,G0537_5365,0.9580085289552032,0.05265491477245127,0.43481478095054626,0.45038357377052307,6309.223676691288
G0537,G0537_5366,0.9522160226569338,0.05992689602735427,0.43481478095054626,0.4295554459095001,5533.131475872531
G0537,G0537_5367,0.9316737601293974,0.08574406697489452,0.43481478095054626,0.4319450557231903,4413.393776011063
G0537,G0537_5368,0.8591186740520758,-0.17750438637143529,0.43481478095054626,0.5277032256126404,5570.386125219819
G0537,G0537_5369,0.8617150112789829,0.1742000198571291,0.43481478095054626,0.39692237973213196,5230.756018905617
G0537,G0537_5370,0.9240345885324814,0.09535691258292929,0.43481478095054626,0.11394821107387543,5879.47085847476
G0538,G0538_5371,0.7853692023642975,-0.2723356727814371,0.45713916420936584,0.47992581129074097,10663.466815194708
G0538,G0538_5372,0.7346970317019332,-0.33889294057794495,0.45713916420936584,0.49478164315223694,10701.821483485186
G0538,G0538_5373,0.778177830853463,-0.28170270333681086,0.45713916420936584,0.44864314794540405,9180.458546415493
G0538,G0538_5374,0.8083868311566593,-0.24251372541904825,0.45713916420936584,0.4775153398513794,10563.25891681429
G0538,G0538_5375,0.8861312297772939,-0.14320538311823067,0.45713916420936584,0.4305860102176666,8874.549464830929
G0538,G0538_5376,0.9011679490756679,-0.12418900767848141,0.45713916420936584,0.3583759665489197,10742.177227453973
G0538,G0538_5377,0.6694705718883238,-0.4268870787094069,0.45713916420936584,0.48215144872665405,10217.389321401724
G0538,G0538_5378,0.9668317131424351,-0.04158334075759659,0.45713916420936584,0.45985695719718933,9661.728226629897
G0538,G0538_5379,0.7839199062677344,0.2742220092451513,0.45713916420936584,0.5400391817092896,9614.898887047044
G0538,G0538_5380,0.9070634923392076,-0.1167460381711968,0.45713916420936584,0.39951610565185547,10725.580157527585
G0539,G0539_5381,0.9092119906009299,0.11403591957226787,0.44983935356140137,0.4437048137187958,8570.488211999344
G0539,G0539_5382,0.9953594554910419,-0.005816308171661108,0.44983935356140137,0.40493419766426086,6752.454672744913
G0539,G0539_5383,0.8637420487994594,-0.17161937259637164,0.44983935356140137,0.5263187885284424,6586.15485323865
G0539,G0539_5384,0.992581149830402,0.009298555573556685,0.44983935356140137,0.5069213509559631,8553.69027878639
G0539,G0539_5385,0.954792377870487,0.056692000641336567,0.44983935356140137,0.4249021112918854,6184.046005597564
G0539,G0539_5386,0.8970668567840381,-0.12937145960762306,0.44983935356140137,0.4058953523635864,8320.729723667193
G0539,G0539_5387,0.9490410023266647,0.06391332551635658,0.44983935356140137,0.44305312633514404,7255.90301411121
G0539,G0539_5388,0.9821006637430179,0.02243627444284221,0.44983935356140137,0.46613210439682007,6226.456903288038
G0539,G0539_5389,0.9632171035309613,0.046118383518904175,0.44983935356140137,0.43794503808021545,7611.526244708967
G0539,G0539_5390,0.9917762144549431,0.010307471069229402,0.44983935356140137,0.43858686089515686,8536.719843252975
G0540,G0540_5391,0.9823770949289445,0.022089417454040305,0.4677162170410156,0.4590907096862793,9440.071847896734
G0540,G0540_5392,0.7098953548011884,0.3720093590196741,0.4677162170410156,0.5776200890541077,8320.510005614604
G0540,G0540_5393,0.8875459346067978,-0.14141424271178046,0.4677162170410156,0.49068424105644226,8815.422905031413
G0540,G0540_5394,0.936283608218766,0.0799439964902974,0.4677162170410156,0.43424856662750244,8835.330121092094
G0540,G0540_5395,0.7799044143478167,-0.27945512753920804,0.4677162170410156,0.5616247057914734,6534.389362464409
G0540,G0540_5396,0.8892364312491425,0.1392742268396885,0.4677162170410156,0.48466742038726807,9424.568777934137
G0540,G0540_5397,0.8064698676060595,0.24498956921308107,0.4677162170410156,0.5177478790283203,9379.042850274485
G0540,G0540_5398,0.9984135296796928,0.0019884074125539886,0.4677162170410156,0.19001086056232452,8227.139418327337
G0540,G0540_5399,0.9925443486460035,-0.009344657305257159,0.4677162170410156,0.47389835119247437,9417.942100680466
